"","Marker_Name","Chromosome","Position"
"82","PGAS1_00097",1,9700000
"83","PGAS1_00098",1,9800000
"84","PGAS1_00099",1,9900000
"85","PGAS1_00100",1,10000000
"86","PGAS1_00101",1,10100000
"87","PGAS1_00102",1,10200000
"88","PGAS1_00103",1,10300000
"89","PGAS1_00105",1,10500000
"90","PGAS1_00106",1,10600000
"91","PGAS1_00107",1,10700000
"92","PGAS1_00108",1,10800000
"93","PGAS1_00109",1,10900000
"94","PGAS1_00110",1,11000000
"95","PGAS1_00111",1,11100000
"96","PGAS1_00115",1,11500000
"97","PGAS1_00116",1,11600000
"98","PGAS1_00117",1,11700000
"99","PGAS1_00118",1,11800000
"100","PGAS1_00120",1,12000000
"101","PGAS1_00122",1,12200000
"102","PGAS1_00123",1,12300000
"103","PGAS1_00124",1,12400000
"104","PGAS1_00125",1,12500000
"105","PGAS1_00126",1,12600000
"106","PGAS1_00128",1,12800000
"107","PGAS1_00130",1,13000000
"108","PGAS1_00131",1,13100000
"109","PGAS1_00132",1,13200000
"110","PGAS1_00134",1,13400000
"111","PGAS1_00135",1,13500000
"112","PGAS1_00136",1,13600000
"113","PGAS1_00138",1,13800000
"114","PGAS1_00140",1,14000000
"115","PGAS1_00141",1,14100000
"116","PGAS1_00142",1,14200000
"117","PGAS1_00143",1,14300000
"118","PGAS1_00145",1,14500000
"119","PGAS1_00146",1,14600000
"120","PGAS1_00151",1,15100000
"121","PGAS1_00152",1,15200000
"122","PGAS1_00155",1,15500000
"123","PGAS1_00157",1,15700000
"124","PGAS1_00158",1,15800000
"125","PGAS1_00159",1,15900000
"126","PGAS1_00160",1,16000000
"127","PGAS1_00162",1,16200000
"128","PGAS1_00163",1,16300000
"129","PGAS1_00164",1,16400000
"130","PGAS1_00166",1,16600000
"131","PGAS1_00168",1,16800000
"132","PGAS1_00169",1,16900000
"133","PGAS1_00171",1,17100000
"134","PGAS1_00173",1,17300000
"135","PGAS1_00174",1,17400000
"136","PGAS1_00176",1,17600000
"137","PGAS1_00177",1,17700000
"138","PGAS1_00179",1,17900000
"139","PGAS1_00180",1,18000000
"140","PGAS1_00181",1,18100000
"141","PGAS1_00182",1,18200000
"142","PGAS1_00183",1,18300000
"143","PGAS1_00184",1,18400000
"144","PGAS1_00186",1,18600000
"145","PGAS1_00187",1,18700000
"146","PGAS1_00188",1,18800000
"147","PGAS1_00189",1,18900000
"148","PGAS1_00190",1,19000000
"149","PGAS1_00191",1,19100000
"150","PGAS1_00192",1,19200000
"151","PGAS1_00193",1,19300000
"152","PGAS1_00196",1,19600000
"153","PGAS1_00199",1,19900000
"154","PGAS1_00201",1,20100000
"155","PGAS1_00202",1,20200000
"156","PGAS1_00203",1,20300000
"157","PGAS1_00204",1,20400000
"158","PGAS1_00205",1,20500000
"159","PGAS1_00206",1,20600000
"160","PGAS1_00207",1,20700000
"161","PGAS1_00208",1,20800000
"162","PGAS1_00209",1,20900000
"163","PGAS1_00210",1,21000000
"164","PGAS1_00211",1,21100000
"165","PGAS1_00212",1,21200000
"166","PGAS1_00215",1,21500000
"167","PGAS1_00217",1,21700000
"168","PGAS1_00219",1,21900000
"169","PGAS1_00220",1,22000000
"170","PGAS1_00222",1,22200000
"171","PGAS1_00223",1,22300000
"172","PGAS1_00224",1,22400000
"173","PGAS1_00226",1,22600000
"174","PGAS1_00227",1,22700000
"175","PGAS1_00229",1,22900000
"176","PGAS1_00231",1,23100000
"177","PGAS1_00232",1,23200000
"178","PGAS1_00233",1,23300000
"179","PGAS1_00235",1,23500000
"180","PGAS1_00238",1,23800000
"181","PGAS1_00239",1,23900000
"182","PGAS1_00240",1,24000000
"183","PGAS1_00241",1,24100000
"184","PGAS1_00242",1,24200000
"185","PGAS1_00243",1,24300000
"186","PGAS1_00245",1,24500000
"187","PGAS1_00247",1,24700000
"188","PGAS1_00249",1,24900000
"189","PGAS1_00250",1,25000000
"190","PGAS1_00251",1,25100000
"191","PGAS1_00252",1,25200000
"192","PGAS1_00254",1,25400000
"193","PGAS1_00255",1,25500000
"194","PGAS1_00256",1,25600000
"195","PGAS1_00258",1,25800000
"196","PGAS1_00259",1,25900000
"197","PGAS1_00260",1,26000000
"198","PGAS1_00261",1,26100000
"199","PGAS1_00263",1,26300000
"200","PGAS1_00264",1,26400000
"201","PGAS1_00265",1,26500000
"202","PGAS1_00266",1,26600000
"203","PGAS1_00268",1,26800000
"204","PGAS1_00269",1,26900000
"205","PGAS1_00270",1,27000000
"206","PGAS1_00271",1,27100000
"207","PGAS1_00272",1,27200000
"208","PGAS1_00273",1,27300000
"209","PGAS1_00274",1,27400000
"210","PGAS1_00275",1,27500000
"211","PGAS1_00276",1,27600000
"212","PGAS1_00277",1,27700000
"213","PGAS1_00278",1,27800000
"214","PGAS1_00280",1,28000000
"215","PGAS1_00281",1,28100000
"216","PGAS1_00282",1,28200000
"217","PGAS1_00285",1,28500000
"218","PGAS1_00286",1,28600000
"219","PGAS1_00287",1,28700000
"220","PGAS1_00288",1,28800000
"221","PGAS1_00290",1,29000000
"222","PGAS1_00291",1,29100000
"223","PGAS1_00292",1,29200000
"224","PGAS1_00294",1,29400000
"225","PGAS1_00295",1,29500000
"226","PGAS1_00297",1,29700000
"227","PGAS1_00298",1,29800000
"228","PGAS1_00299",1,29900000
"229","PGAS1_00300",1,30000000
"230","PGAS1_00301",1,30100000
"231","PGAS1_00304",1,30400000
"232","PGAS1_00305",1,30500000
"233","PGAS1_00306",1,30600000
"234","PGAS1_00307",1,30700000
"235","PGAS1_00308",1,30800000
"236","PGAS1_00309",1,30900000
"237","PGAS1_00310",1,31000000
"238","PGAS1_00312",1,31200000
"239","PGAS1_00314",1,31400000
"240","PGAS1_00316",1,31600000
"241","PGAS1_00317",1,31700000
"242","PGAS1_00318",1,31800000
"243","PGAS1_00319",1,31900000
"244","PGAS1_00320",1,32000000
"245","PGAS1_00321",1,32100000
"246","PGAS1_00322",1,32200000
"247","PGAS1_00323",1,32300000
"248","PGAS1_00324",1,32400000
"249","PGAS1_00325",1,32500000
"250","PGAS1_00327",1,32700000
"251","PGAS1_00330",1,33000000
"252","PGAS1_00331",1,33100000
"253","PGAS1_00332",1,33200000
"254","PGAS1_00334",1,33400000
"255","PGAS1_00336",1,33600000
"256","PGAS1_00338",1,33800000
"257","PGAS1_00339",1,33900000
"258","PGAS1_00340",1,34000000
"259","PGAS1_00341",1,34100000
"260","PGAS1_00342",1,34200000
"261","PGAS1_00343",1,34300000
"262","PGAS1_00344",1,34400000
"263","PGAS1_00345",1,34500000
"264","PGAS1_00346",1,34600000
"265","PGAS1_00347",1,34700000
"266","PGAS1_00348",1,34800000
"267","PGAS1_00349",1,34900000
"268","PGAS1_00351",1,35100000
"269","PGAS1_00352",1,35200000
"270","PGAS1_00353",1,35300000
"271","PGAS1_00354",1,35400000
"272","PGAS1_00355",1,35500000
"273","PGAS1_00356",1,35600000
"274","PGAS1_00357",1,35700000
"275","PGAS1_00358",1,35800000
"276","PGAS1_00360",1,36000000
"277","PGAS1_00361",1,36100000
"278","PGAS1_00363",1,36300000
"279","PGAS1_00364",1,36400000
"280","PGAS1_00366",1,36600000
"281","PGAS1_00367",1,36700000
"282","PGAS1_00368",1,36800000
"283","PGAS1_00370",1,37000000
"284","PGAS1_00371",1,37100000
"285","PGAS1_00373",1,37300000
"286","PGAS1_00375",1,37500000
"287","PGAS1_00376",1,37600000
"288","PGAS1_00377",1,37700000
"289","PGAS1_00379",1,37900000
"290","PGAS1_00380",1,38000000
"291","PGAS1_00381",1,38100000
"292","PGAS1_00383",1,38300000
"293","PGAS1_00384",1,38400000
"294","PGAS1_00386",1,38600000
"295","PGAS1_00388",1,38800000
"296","PGAS1_00390",1,39000000
"297","PGAS1_00391",1,39100000
"298","PGAS1_00392",1,39200000
"299","PGAS1_00394",1,39400000
"300","PGAS1_00395",1,39500000
"301","PGAS1_00397",1,39700000
"302","PGAS1_00398",1,39800000
"303","PGAS1_00399",1,39900000
"304","PGAS1_00400",1,40000000
"305","PGAS1_00402",1,40200000
"306","PGAS1_00403",1,40300000
"307","PGAS1_00405",1,40500000
"308","PGAS1_00406",1,40600000
"309","PGAS1_00407",1,40700000
"310","PGAS1_00408",1,40800000
"311","PGAS1_00410",1,41000000
"312","PGAS1_00411",1,41100000
"313","PGAS1_00414",1,41400000
"314","PGAS1_00416",1,41600000
"315","PGAS1_00417",1,41700000
"316","PGAS1_00419",1,41900000
"317","PGAS1_00420",1,42000000
"318","PGAS1_00422",1,42200000
"319","PGAS1_00423",1,42300000
"320","PGAS1_00424",1,42400000
"321","PGAS1_00425",1,42500000
"322","PGAS1_00427",1,42700000
"323","PGAS1_00428",1,42800000
"324","PGAS1_00429",1,42900000
"325","PGAS1_00430",1,43000000
"326","PGAS1_00431",1,43100000
"327","PGAS1_00432",1,43200000
"328","PGAS1_00433",1,43300000
"329","PGAS1_00434",1,43400000
"330","PGAS1_00435",1,43500000
"331","PGAS1_00436",1,43600000
"332","PGAS1_00438",1,43800000
"333","PGAS1_00440",1,44000000
"334","PGAS1_00441",1,44100000
"335","PGAS1_00442",1,44200000
"336","PGAS1_00443",1,44300000
"337","PGAS1_00444",1,44400000
"338","PGAS1_00445",1,44500000
"339","PGAS1_00446",1,44600000
"340","PGAS1_00447",1,44700000
"341","PGAS1_00448",1,44800000
"342","PGAS1_00449",1,44900000
"343","PGAS1_00450",1,45000000
"344","PGAS1_00452",1,45200000
"345","PGAS1_00453",1,45300000
"346","PGAS1_00454",1,45400000
"347","PGAS1_00456",1,45600000
"348","PGAS1_00459",1,45900000
"349","PGAS1_00460",1,46000000
"350","PGAS1_00462",1,46200000
"351","PGAS1_00463",1,46300000
"352","PGAS1_00464",1,46400000
"353","PGAS1_00466",1,46600000
"354","PGAS1_00467",1,46700000
"355","PGAS1_00468",1,46800000
"356","PGAS1_00470",1,47000000
"357","PGAS1_00471",1,47100000
"358","PGAS1_00472",1,47200000
"359","PGAS1_00473",1,47300000
"360","PGAS1_00474",1,47400000
"361","PGAS1_00475",1,47500000
"362","PGAS1_00477",1,47700000
"363","PGAS1_00478",1,47800000
"364","PGAS1_00479",1,47900000
"365","PGAS1_00480",1,48000000
"366","PGAS1_00481",1,48100000
"367","PGAS1_00483",1,48300000
"368","PGAS1_00484",1,48400000
"369","PGAS1_00485",1,48500000
"370","PGAS1_00486",1,48600000
"371","PGAS1_00487",1,48700000
"372","PGAS1_00489",1,48900000
"373","PGAS1_00490",1,49000000
"374","PGAS1_00492",1,49200000
"375","PGAS1_00493",1,49300000
"376","PGAS1_00494",1,49400000
"377","PGAS1_00495",1,49500000
"378","PGAS1_00497",1,49700000
"379","PGAS1_00498",1,49800000
"380","PGAS1_00499",1,49900000
"381","PGAS1_00500",1,50000000
"382","PGAS1_00501",1,50100000
"383","PGAS1_00502",1,50200000
"384","PGAS1_00503",1,50300000
"385","PGAS1_00504",1,50400000
"386","PGAS1_00507",1,50700000
"387","PGAS1_00508",1,50800000
"388","PGAS1_00509",1,50900000
"389","PGAS1_00510",1,51000000
"390","PGAS1_00512",1,51200000
"391","PGAS1_00513",1,51300000
"392","PGAS1_00514",1,51400000
"393","PGAS1_00515",1,51500000
"394","PGAS1_00516",1,51600000
"395","PGAS1_00518",1,51800000
"396","PGAS1_00520",1,52000000
"397","PGAS1_00522",1,52200000
"398","PGAS1_00523",1,52300000
"399","PGAS1_00524",1,52400000
"400","PGAS1_00526",1,52600000
"401","PGAS1_00527",1,52700000
"402","PGAS1_00528",1,52800000
"403","PGAS1_00529",1,52900000
"404","PGAS1_00530",1,53000000
"405","PGAS1_00531",1,53100000
"406","PGAS1_00532",1,53200000
"407","PGAS1_00534",1,53400000
"408","PGAS1_00535",1,53500000
"409","PGAS1_00536",1,53600000
"410","PGAS1_00538",1,53800000
"411","PGAS1_00539",1,53900000
"412","PGAS1_00540",1,54000000
"413","PGAS1_00542",1,54200000
"414","PGAS1_00543",1,54300000
"415","PGAS1_00545",1,54500000
"416","PGAS1_00546",1,54600000
"417","PGAS1_00547",1,54700000
"418","PGAS1_00548",1,54800000
"419","PGAS1_00549",1,54900000
"420","PGAS1_00550",1,55000000
"421","PGAS1_00552",1,55200000
"422","PGAS1_00553",1,55300000
"423","PGAS1_00555",1,55500000
"424","PGAS1_00556",1,55600000
"425","PGAS1_00557",1,55700000
"426","PGAS1_00558",1,55800000
"427","PGAS1_00559",1,55900000
"428","PGAS1_00560",1,56000000
"429","PGAS1_00561",1,56100000
"430","PGAS1_00562",1,56200000
"431","PGAS1_00563",1,56300000
"432","PGAS1_00564",1,56400000
"433","PGAS1_00565",1,56500000
"434","PGAS1_00566",1,56600000
"435","PGAS1_00567",1,56700000
"436","PGAS1_00569",1,56900000
"437","PGAS1_00570",1,57000000
"438","PGAS1_00571",1,57100000
"439","PGAS1_00572",1,57200000
"440","PGAS1_00573",1,57300000
"441","PGAS1_00574",1,57400000
"442","PGAS1_00575",1,57500000
"443","PGAS1_00576",1,57600000
"444","PGAS1_00578",1,57800000
"445","PGAS1_00579",1,57900000
"446","PGAS1_00581",1,58100000
"447","PGAS1_00582",1,58200000
"448","PGAS1_00583",1,58300000
"449","PGAS1_00585",1,58500000
"450","PGAS1_00586",1,58600000
"451","PGAS1_00587",1,58700000
"452","PGAS1_00588",1,58800000
"453","PGAS1_00589",1,58900000
"454","PGAS1_00590",1,59000000
"455","PGAS1_00591",1,59100000
"456","PGAS1_00592",1,59200000
"457","PGAS1_00593",1,59300000
"458","PGAS1_00594",1,59400000
"459","PGAS1_00595",1,59500000
"460","PGAS1_00596",1,59600000
"461","PGAS1_00597",1,59700000
"462","PGAS1_00598",1,59800000
"463","PGAS1_00599",1,59900000
"464","PGAS1_00600",1,60000000
"465","PGAS1_00601",1,60100000
"466","PGAS1_00602",1,60200000
"467","PGAS1_00603",1,60300000
"468","PGAS1_00604",1,60400000
"469","PGAS1_00605",1,60500000
"470","PGAS1_00606",1,60600000
"471","PGAS1_00608",1,60800000
"472","PGAS1_00609",1,60900000
"473","PGAS1_00610",1,61000000
"474","PGAS1_00611",1,61100000
"475","PGAS1_00612",1,61200000
"476","PGAS1_00613",1,61300000
"477","PGAS1_00614",1,61400000
"478","PGAS1_00615",1,61500000
"479","PGAS1_00616",1,61600000
"480","PGAS1_00617",1,61700000
"481","PGAS1_00618",1,61800000
"482","PGAS1_00619",1,61900000
"483","PGAS1_00620",1,62000000
"484","PGAS1_00621",1,62100000
"485","PGAS1_00622",1,62200000
"486","PGAS1_00623",1,62300000
"487","PGAS1_00625",1,62500000
"488","PGAS1_00626",1,62600000
"489","PGAS1_00627",1,62700000
"490","PGAS1_00628",1,62800000
"491","PGAS1_00630",1,63000000
"492","PGAS1_00631",1,63100000
"493","PGAS1_00632",1,63200000
"494","PGAS1_00633",1,63300000
"495","PGAS1_00635",1,63500000
"496","PGAS1_00636",1,63600000
"497","PGAS1_00637",1,63700000
"498","PGAS1_00638",1,63800000
"499","PGAS1_00639",1,63900000
"500","PGAS1_00641",1,64100000
"501","PGAS1_00643",1,64300000
"502","PGAS1_00644",1,64400000
"503","PGAS1_00645",1,64500000
"504","PGAS1_00647",1,64700000
"505","PGAS1_00648",1,64800000
"506","PGAS1_00649",1,64900000
"507","PGAS1_00651",1,65100000
"508","PGAS1_00652",1,65200000
"509","PGAS1_00654",1,65400000
"510","PGAS1_00657",1,65700000
"511","PGAS1_00658",1,65800000
"512","PGAS1_00660",1,66000000
"513","PGAS1_00662",1,66200000
"514","PGAS1_00663",1,66300000
"515","PGAS1_00664",1,66400000
"516","PGAS1_00666",1,66600000
"517","PGAS1_00668",1,66800000
"518","PGAS1_00669",1,66900000
"519","PGAS1_00671",1,67100000
"520","PGAS1_00672",1,67200000
"521","PGAS1_00673",1,67300000
"522","PGAS1_00675",1,67500000
"523","PGAS1_00676",1,67600000
"524","PGAS1_00677",1,67700000
"525","PGAS1_00678",1,67800000
"526","PGAS1_00679",1,67900000
"527","PGAS1_00680",1,68000000
"528","PGAS1_00682",1,68200000
"529","PGAS1_00684",1,68400000
"530","PGAS1_00686",1,68600000
"531","PGAS1_00687",1,68700000
"532","PGAS1_00688",1,68800000
"533","PGAS1_00689",1,68900000
"534","PGAS1_00690",1,69000000
"535","PGAS1_00692",1,69200000
"536","PGAS1_00693",1,69300000
"537","PGAS1_00694",1,69400000
"538","PGAS1_00695",1,69500000
"539","PGAS1_00696",1,69600000
"540","PGAS1_00697",1,69700000
"541","PGAS1_00699",1,69900000
"542","PGAS1_00700",1,70000000
"543","PGAS1_00701",1,70100000
"544","PGAS1_00703",1,70300000
"545","PGAS1_00706",1,70600000
"546","PGAS1_00707",1,70700000
"547","PGAS1_00708",1,70800000
"548","PGAS1_00709",1,70900000
"549","PGAS1_00710",1,71000000
"550","PGAS1_00711",1,71100000
"551","PGAS1_00712",1,71200000
"552","PGAS1_00713",1,71300000
"553","PGAS1_00714",1,71400000
"554","PGAS1_00715",1,71500000
"555","PGAS1_00716",1,71600000
"556","PGAS1_00717",1,71700000
"557","PGAS1_00718",1,71800000
"558","PGAS1_00719",1,71900000
"559","PGAS1_00720",1,72000000
"560","PGAS1_00721",1,72100000
"561","PGAS1_00722",1,72200000
"562","PGAS1_00723",1,72300000
"563","PGAS1_00725",1,72500000
"564","PGAS1_00726",1,72600000
"565","PGAS1_00727",1,72700000
"566","PGAS1_00728",1,72800000
"567","PGAS1_00729",1,72900000
"568","PGAS1_00730",1,73000000
"569","PGAS1_00731",1,73100000
"570","PGAS1_00732",1,73200000
"571","PGAS1_00733",1,73300000
"572","PGAS1_00734",1,73400000
"573","PGAS1_00736",1,73600000
"574","PGAS1_00737",1,73700000
"575","PGAS1_00738",1,73800000
"576","PGAS1_00739",1,73900000
"577","PGAS1_00740",1,74000000
"578","PGAS1_00743",1,74300000
"579","PGAS1_00745",1,74500000
"580","PGAS1_00749",1,74900000
"581","PGAS1_00750",1,75000000
"582","PGAS1_00751",1,75100000
"583","PGAS1_00752",1,75200000
"584","PGAS1_00753",1,75300000
"585","PGAS1_00754",1,75400000
"586","PGAS1_00755",1,75500000
"587","PGAS1_00756",1,75600000
"588","PGAS1_00760",1,76000000
"589","PGAS1_00762",1,76200000
"590","PGAS1_00763",1,76300000
"591","PGAS1_00764",1,76400000
"592","PGAS1_00765",1,76500000
"593","PGAS1_00766",1,76600000
"594","PGAS1_00767",1,76700000
"595","PGAS1_00768",1,76800000
"596","PGAS1_00769",1,76900000
"597","PGAS1_00770",1,77000000
"598","PGAS1_00771",1,77100000
"599","PGAS1_00772",1,77200000
"600","PGAS1_00773",1,77300000
"601","PGAS1_00774",1,77400000
"602","PGAS1_00775",1,77500000
"603","PGAS1_00776",1,77600000
"604","PGAS1_00778",1,77800000
"605","PGAS1_00779",1,77900000
"606","PGAS1_00780",1,78000000
"607","PGAS1_00782",1,78200000
"608","PGAS1_00783",1,78300000
"609","PGAS1_00784",1,78400000
"610","PGAS1_00785",1,78500000
"611","PGAS1_00786",1,78600000
"612","PGAS1_00787",1,78700000
"613","PGAS1_00789",1,78900000
"614","PGAS1_00790",1,79000000
"615","PGAS1_00792",1,79200000
"616","PGAS1_00794",1,79400000
"617","PGAS1_00795",1,79500000
"618","PGAS1_00796",1,79600000
"619","PGAS1_00797",1,79700000
"620","PGAS1_00798",1,79800000
"621","PGAS1_00799",1,79900000
"622","PGAS1_00800",1,80000000
"623","PGAS1_00802",1,80200000
"624","PGAS1_00804",1,80400000
"625","PGAS1_00805",1,80500000
"626","PGAS1_00806",1,80600000
"627","PGAS1_00810",1,81000000
"628","PGAS1_00811",1,81100000
"629","PGAS1_00812",1,81200000
"630","PGAS1_00813",1,81300000
"631","PGAS1_00819",1,81900000
"632","PGAS1_00822",1,82200000
"633","PGAS1_00823",1,82300000
"634","PGAS1_00828",1,82800000
"635","PGAS1_00829",1,82900000
"636","PGAS1_00830",1,83000000
"637","PGAS1_00831",1,83100000
"638","PGAS1_00832",1,83200000
"639","PGAS1_00835",1,83500000
"640","PGAS1_00836",1,83600000
"641","PGAS1_00837",1,83700000
"642","PGAS1_00838",1,83800000
"643","PGAS1_00839",1,83900000
"644","PGAS1_00842",1,84200000
"645","PGAS1_00843",1,84300000
"646","PGAS1_00844",1,84400000
"647","PGAS1_00848",1,84800000
"648","PGAS1_00849",1,84900000
"649","PGAS1_00852",1,85200000
"650","PGAS1_00853",1,85300000
"651","PGAS1_00854",1,85400000
"652","PGAS1_00855",1,85500000
"653","PGAS1_00856",1,85600000
"654","PGAS1_00857",1,85700000
"655","PGAS1_00858",1,85800000
"656","PGAS1_00859",1,85900000
"657","PGAS1_00862",1,86200000
"658","PGAS1_00864",1,86400000
"659","PGAS1_00865",1,86500000
"660","PGAS1_00866",1,86600000
"661","PGAS1_00867",1,86700000
"662","PGAS1_00868",1,86800000
"663","PGAS1_00870",1,87000000
"664","PGAS1_00871",1,87100000
"665","PGAS1_00873",1,87300000
"666","PGAS1_00874",1,87400000
"667","PGAS1_00875",1,87500000
"668","PGAS1_00877",1,87700000
"669","PGAS1_00878",1,87800000
"670","PGAS1_00879",1,87900000
"671","PGAS1_00880",1,88000000
"672","PGAS1_00882",1,88200000
"673","PGAS1_00884",1,88400000
"674","PGAS1_00885",1,88500000
"675","PGAS1_00886",1,88600000
"676","PGAS1_00889",1,88900000
"677","PGAS1_00890",1,89000000
"678","PGAS1_00891",1,89100000
"679","PGAS1_00892",1,89200000
"680","PGAS1_00893",1,89300000
"681","PGAS1_00894",1,89400000
"682","PGAS1_00895",1,89500000
"683","PGAS1_00897",1,89700000
"684","PGAS1_00900",1,90000000
"685","PGAS1_00901",1,90100000
"686","PGAS1_00903",1,90300000
"687","PGAS1_00904",1,90400000
"688","PGAS1_00906",1,90600000
"689","PGAS1_00907",1,90700000
"690","PGAS1_00908",1,90800000
"691","PGAS1_00909",1,90900000
"692","PGAS1_00910",1,91000000
"693","PGAS1_00911",1,91100000
"694","PGAS1_00913",1,91300000
"695","PGAS1_00914",1,91400000
"696","PGAS1_00915",1,91500000
"697","PGAS1_00916",1,91600000
"698","PGAS1_00917",1,91700000
"699","PGAS1_00919",1,91900000
"700","PGAS1_00920",1,92000000
"701","PGAS1_00923",1,92300000
"702","PGAS1_00924",1,92400000
"703","PGAS1_00925",1,92500000
"704","PGAS1_00926",1,92600000
"705","PGAS1_00927",1,92700000
"706","PGAS1_00928",1,92800000
"707","PGAS1_00929",1,92900000
"708","PGAS1_00931",1,93100000
"709","PGAS1_00932",1,93200000
"710","PGAS1_00933",1,93300000
"711","PGAS1_00934",1,93400000
"712","PGAS1_00935",1,93500000
"713","PGAS1_00936",1,93600000
"714","PGAS1_00937",1,93700000
"715","PGAS1_00939",1,93900000
"716","PGAS1_00940",1,94000000
"717","PGAS1_00942",1,94200000
"718","PGAS1_00944",1,94400000
"719","PGAS1_00945",1,94500000
"720","PGAS1_00946",1,94600000
"721","PGAS1_00947",1,94700000
"722","PGAS1_00948",1,94800000
"723","PGAS1_00949",1,94900000
"724","PGAS1_00950",1,95000000
"725","PGAS1_00951",1,95100000
"726","PGAS1_00952",1,95200000
"727","PGAS1_00953",1,95300000
"728","PGAS1_00954",1,95400000
"729","PGAS1_00957",1,95700000
"730","PGAS1_00958",1,95800000
"731","PGAS1_00959",1,95900000
"732","PGAS1_00960",1,96000000
"733","PGAS1_00961",1,96100000
"734","PGAS1_00962",1,96200000
"735","PGAS1_00963",1,96300000
"736","PGAS1_00965",1,96500000
"737","PGAS1_00966",1,96600000
"738","PGAS1_00967",1,96700000
"739","PGAS1_00969",1,96900000
"740","PGAS1_00970",1,97000000
"741","PGAS1_00972",1,97200000
"742","PGAS1_00973",1,97300000
"743","PGAS1_00974",1,97400000
"744","PGAS1_00975",1,97500000
"745","PGAS1_00976",1,97600000
"746","PGAS1_00977",1,97700000
"747","PGAS1_00981",1,98100000
"748","PGAS1_00982",1,98200000
"749","PGAS1_00983",1,98300000
"750","PGAS1_00984",1,98400000
"751","PGAS1_00985",1,98500000
"752","PGAS1_00986",1,98600000
"753","PGAS1_00987",1,98700000
"754","PGAS1_00988",1,98800000
"755","PGAS1_00989",1,98900000
"756","PGAS1_00990",1,99000000
"757","PGAS1_00991",1,99100000
"758","PGAS1_00992",1,99200000
"759","PGAS1_00993",1,99300000
"760","PGAS1_00994",1,99400000
"761","PGAS1_00995",1,99500000
"762","PGAS1_00996",1,99600000
"763","PGAS1_00997",1,99700000
"764","PGAS1_00998",1,99800000
"765","PGAS1_00999",1,99900000
"766","PGAS1_01000",1,100000000
"767","PGAS1_01001",1,100100000
"768","PGAS1_01002",1,100200000
"769","PGAS1_01004",1,100400000
"770","PGAS1_01005",1,100500000
"771","PGAS1_01006",1,100600000
"772","PGAS1_01007",1,100700000
"773","PGAS1_01008",1,100800000
"774","PGAS1_01009",1,100900000
"775","PGAS1_01010",1,101000000
"776","PGAS1_01011",1,101100000
